,month,bedrooms,number_of_reviews,review_scores_rating,neighborhood,num_comp,occ%,avg_price,neighborhood2
356,8,1,49,91,Williamsburg,1248,0.0,190,71
357,9,1,49,91,Williamsburg,1248,100.0,190,71
358,10,1,49,91,Williamsburg,1248,80.65,190,71
359,11,1,49,91,Williamsburg,1248,100.0,190,71
360,12,1,49,91,Williamsburg,1248,100.0,190,71
361,1,1,83,94,Williamsburg,1248,23.33,115,71
362,2,1,83,94,Williamsburg,1248,41.38,85,71
363,3,1,83,94,Williamsburg,1248,0.0,128,71
364,4,1,83,94,Williamsburg,1248,76.67,200,71
365,5,1,83,94,Williamsburg,1248,67.74,200,71
366,6,1,83,94,Williamsburg,1248,83.33,200,71
367,7,1,83,94,Williamsburg,1248,100.0,164,71
368,8,1,83,94,Williamsburg,1248,100.0,164,71
369,9,1,83,94,Williamsburg,1248,100.0,164,71
370,10,1,83,94,Williamsburg,1248,100.0,200,71
371,11,1,83,94,Williamsburg,1248,100.0,200,71
372,12,1,83,94,Williamsburg,1248,100.0,200,71
373,1,1,48,99,Williamsburg,1248,6.45,225,71
374,2,1,48,99,Williamsburg,1248,31.03,150,71
375,3,1,48,99,Williamsburg,1248,45.16,150,71
376,4,1,48,99,Williamsburg,1248,63.33,215,71
377,5,1,48,99,Williamsburg,1248,93.55,215,71
378,6,1,48,99,Williamsburg,1248,93.33,215,71
379,7,1,48,99,Williamsburg,1248,83.87,215,71
380,8,1,48,99,Williamsburg,1248,48.39,215,71
381,9,1,48,99,Williamsburg,1248,50.0,207,71
382,10,1,48,99,Williamsburg,1248,93.55,200,71
383,11,1,48,99,Williamsburg,1248,100.0,207,71
384,12,1,48,99,Williamsburg,1248,33.33,200,71
385,1,1,33,99,Williamsburg,1248,0.0,235,71
386,2,1,33,99,Williamsburg,1248,3.45,235,71
387,3,1,33,99,Williamsburg,1248,0.0,235,71
388,4,1,33,99,Williamsburg,1248,100.0,235,71
389,1,1,30,94,Williamsburg,1248,3.33,150,71
390,2,1,30,94,Williamsburg,1248,6.9,150,71
391,3,1,30,94,Williamsburg,1248,0.0,150,71
392,4,1,30,94,Williamsburg,1248,56.67,150,71
393,5,1,30,94,Williamsburg,1248,51.61,75,71
394,6,1,30,94,Williamsburg,1248,96.67,150,71
395,7,1,30,94,Williamsburg,1248,100.0,150,71
396,8,1,30,94,Williamsburg,1248,64.52,150,71
397,9,1,30,94,Williamsburg,1248,96.67,150,71
398,10,1,30,94,Williamsburg,1248,48.39,150,71
399,11,1,30,94,Williamsburg,1248,3.33,150,71
400,12,1,30,94,Williamsburg,1248,0.0,150,71
401,1,1,26,95,Williamsburg,1248,10.0,75,71
402,2,1,26,95,Williamsburg,1248,100.0,115,71
403,3,1,26,95,Williamsburg,1248,67.74,115,71
404,4,1,26,95,Williamsburg,1248,73.33,125,71
405,5,1,26,95,Williamsburg,1248,100.0,133,71
406,6,1,26,95,Williamsburg,1248,60.0,133,71
407,7,1,26,95,Williamsburg,1248,51.61,133,71
408,8,1,26,95,Williamsburg,1248,12.9,127,71
409,9,1,26,95,Williamsburg,1248,16.67,127,71
410,10,1,26,95,Williamsburg,1248,45.16,119,71
411,11,1,26,95,Williamsburg,1248,0.0,118,71
412,12,1,26,95,Williamsburg,1248,0.0,146,71
413,1,1,47,99,Williamsburg,1248,3.33,199,71
414,2,1,47,99,Williamsburg,1248,3.45,199,71
415,3,1,47,99,Williamsburg,1248,0.0,199,71
416,4,1,47,99,Williamsburg,1248,6.67,199,71
417,5,1,47,99,Williamsburg,1248,90.32,199,71
418,6,1,47,99,Williamsburg,1248,76.67,199,71
419,7,1,47,99,Williamsburg,1248,74.19,199,71
420,8,1,47,99,Williamsburg,1248,61.29,199,71
421,9,1,47,99,Williamsburg,1248,3.33,199,71
422,10,1,47,99,Williamsburg,1248,87.1,199,71
423,11,1,47,99,Williamsburg,1248,40.0,199,71
424,12,1,47,99,Williamsburg,1248,54.84,199,71
425,1,1,5,95,Williamsburg,1248,12.9,135,71
426,2,1,5,95,Williamsburg,1248,3.45,135,71
427,3,1,5,95,Williamsburg,1248,0.0,135,71
428,4,1,5,95,Williamsburg,1248,80.0,135,71
429,5,1,5,95,Williamsburg,1248,93.55,135,71
430,6,1,5,95,Williamsburg,1248,100.0,135,71
431,7,1,5,95,Williamsburg,1248,67.74,135,71
432,8,1,5,95,Williamsburg,1248,87.1,135,71
433,9,1,5,95,Williamsburg,1248,0.0,135,71
434,10,1,5,95,Williamsburg,1248,100.0,135,71
435,11,1,5,95,Williamsburg,1248,66.67,150,71
436,12,1,5,95,Williamsburg,1248,100.0,135,71
437,1,1,161,95,Williamsburg,1248,6.67,95,71
438,2,1,161,95,Williamsburg,1248,17.24,95,71
439,3,1,161,95,Williamsburg,1248,6.45,115,71
440,4,1,161,95,Williamsburg,1248,70.0,145,71
441,5,1,161,95,Williamsburg,1248,74.19,145,71
442,6,1,161,95,Williamsburg,1248,73.33,145,71
443,7,1,161,95,Williamsburg,1248,61.29,145,71
444,8,1,161,95,Williamsburg,1248,45.16,125,71
445,9,1,161,95,Williamsburg,1248,43.33,125,71
446,10,1,161,95,Williamsburg,1248,80.65,145,71
447,11,1,161,95,Williamsburg,1248,16.67,145,71
448,12,1,161,95,Williamsburg,1248,64.52,145,71
449,1,1,157,99,Williamsburg,1248,35.48,200,71
450,2,1,157,99,Williamsburg,1248,68.97,235,71
451,3,1,157,99,Williamsburg,1248,22.58,235,71
452,4,1,157,99,Williamsburg,1248,80.0,250,71
453,5,1,157,99,Williamsburg,1248,80.65,250,71
454,6,1,157,99,Williamsburg,1248,83.33,235,71
455,7,1,157,99,Williamsburg,1248,87.1,117,71
456,8,1,157,99,Williamsburg,1248,93.55,117,71
